Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.SecurityControllerHelper | Resultado de convertir nombre de controlador : [USUARIO] a funcionalidad del sistema : [Gestión de Usuarios], cantidad de resultados que coincide : [1] | SecurityControllerHelper.CheckPermissions => SecurityControllerHelper.ControllerToFunctionality => NLogLogger.DebugFormat |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.seguridad.aplicacion.AuthorizationService | Verificar permiso de la accion GET en la funcionalidad 1 para el usuario [admin-administrador] | AsyncTaskMethodBuilder`1.Start => <Authorize>d__8.MoveNext => NLogLogger.DebugFormat |  | !
Info  | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | Abp.Auditing.SimpleLogAuditingStore      | AUDIT LOG: com.cpp.calypso.seguridad.aplicacion.ModuloService.GetModuleAndFunctionality is executed by user 1 in 0 ms from 192.168.99.1 IP address with succeed. | SimpleLogAuditingStore.SaveAsync => CastleNlogLogger.Info => NLogLogger.Info |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.seguridad.aplicacion.AuthorizationService | El usuario admin, posee un rol que es administrador | AsyncTaskMethodBuilder`1.Start => <Authorize>d__8.MoveNext => NLogLogger.DebugFormat |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.GenericApplication   | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApplication..ctor => NLogLogger.DebugFormat |  | !
Info  | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | Abp.Auditing.SimpleLogAuditingStore      | AUDIT LOG: com.cpp.calypso.comun.aplicacion.FuncionalidadService.GetFuncionalidades is executed by user 1 in 0 ms from 192.168.99.1 IP address with succeed. | SimpleLogAuditingStore.SaveAsync => CastleNlogLogger.Info => NLogLogger.Info |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.SecurityControllerHelper | Resultado de convertir nombre de controlador : [USUARIO] a funcionalidad del sistema : [Gestión de Usuarios], cantidad de resultados que coincide : [1] | SecurityControllerHelper.CheckPermissions => SecurityControllerHelper.ControllerToFunctionality => NLogLogger.DebugFormat |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.GenericApplication   | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApplication..ctor => NLogLogger.DebugFormat |  | !
Info  | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | Abp.Auditing.SimpleLogAuditingStore      | AUDIT LOG: com.cpp.calypso.comun.aplicacion.ParametroService.GetValor is executed by user 1 in 0 ms from 192.168.99.1 IP address with succeed. | SimpleLogAuditingStore.SaveAsync => CastleNlogLogger.Info => NLogLogger.Info |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.GenericApplication   | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.GenericApplication   | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:ApplicationCookie:admin | 12/06/2018 23:34:29:3429 | 32 | com.cpp.calypso.web.GenericApplication   | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApplication..ctor => NLogLogger.DebugFormat |  | !
