Debug | notauth:: | 30/01/2019 10:01:04:14 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:04:14 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:04:14 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Error | notauth:: | 30/01/2019 10:01:28:128 | 5 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | <Post>d__8.MoveNext => ManejadorExcepciones.HandleException => NLogLogger.Error | Object reference not set to an instance of an object. | !
Error | notauth:: | 30/01/2019 10:01:28:128 | 5 | com.cpp.calypso.webapi.Controllers.TokenController | Existe un inconveniente, vuelva a intentar más tarde | AsyncTaskMethodBuilder`1.Start => <Post>d__8.MoveNext => NLogLogger.ErrorFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:54:154 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:54:154 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:01:54:154 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Error | notauth:: | 30/01/2019 10:02:21:221 | 6 | com.cpp.calypso.framework.ManejadorExcepciones | Excepcion: | <Post>d__8.MoveNext => ManejadorExcepciones.HandleException => NLogLogger.Error | No se encuentra autentificado | !
Error | notauth:: | 30/01/2019 10:02:21:221 | 6 | com.cpp.calypso.webapi.Controllers.TokenController | No se encuentra autentificado | MoveNextRunner.InvokeMoveNext => <Post>d__8.MoveNext => NLogLogger.ErrorFormat |  | !
Debug | notauth:: | 30/01/2019 10:02:24:224 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:02:24:224 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:02:24:224 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:07:53:753 | 8 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:07:54:754 | 8 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:AuthenticationTypes.Federation:admin | 30/01/2019 10:11:07:117 | 40 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:AuthenticationTypes.Federation:admin | 30/01/2019 10:11:25:1125 | 14 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:17:49:1749 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:17:49:1749 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:19:55:1955 | 11 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:19:55:1955 | 11 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | auth:AuthenticationTypes.Federation:admin | 30/01/2019 10:20:39:2039 | 16 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:38:55:3855 | 58 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:38:55:3855 | 58 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:02:392 | 53 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:02:392 | 53 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:17:3917 | 56 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:17:3917 | 56 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:51:3951 | 53 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:51:3951 | 53 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Info  | notauth:: | 30/01/2019 10:39:51:3951 | 53 | com.cpp.calypso.webapi.Controllers.TokenController | No existe el usuario [foo] | MoveNextRunner.InvokeMoveNext => <Post>d__5.MoveNext => NLogLogger.InfoFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:57:3957 | 57 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:39:57:3957 | 57 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Info  | notauth:: | 30/01/2019 10:39:57:3957 | 53 | com.cpp.calypso.webapi.Controllers.TokenController | No existe el usuario [foo] | MoveNextRunner.InvokeMoveNext => <Post>d__5.MoveNext => NLogLogger.InfoFormat |  | !
Debug | notauth:: | 30/01/2019 10:40:09:409 | 49 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:40:09:409 | 49 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:46:21:4621 | 9 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:46:22:4622 | 9 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:46:44:4644 | 9 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:46:44:4644 | 9 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:56:32:5632 | 5 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
Debug | notauth:: | 30/01/2019 10:57:04:574 | 7 | com.cpp.calypso.webapi.GenericApiApplication | Call GenericApplication.Construct | RuntimeMethodHandle.InvokeMethod => GenericApiApplication..ctor => NLogLogger.DebugFormat |  | !
